graph_id,label,feat
344,0,623.18;3;11.69;7.27;3.05;0.1;12.96;6.47;4.21
345,0,576.15;3;11.94;7.32;2.9;0.2;12.96;6.3;3.67
346,0,562.15;2.03;11.65;7.31;2.86;0.2;12.12;5.98;3.32
347,0,588.49;3;11.69;7.63;2.98;1.3;14.25;6.16;3.8
348,0,610.83;2.15;11.69;6.79;3.12;1.29;12.96;6.19;4.85
349,0,623.84;3;11.69;7.54;2.89;0.3;16.35;6.54;4.84
350,0,601.99;3;11.69;7.33;2.82;2.3;12.96;6.12;3.71
351,0,678.34;3;11.69;7.53;2.96;2.4;16.95;6.74;5.42
352,0,818.72;2.3;11.51;7.25;3.49;0.3;12.08;3.74;4.85
353,0,640.55;2.34;11.2;6.52;2.67;0.1;9.65;5.49;3.89
354,0,575.42;2.61;11.69;7.07;2.94;0.8;12.96;6.14;3.63
355,0,837.1;3;11.69;7.41;2.84;1.4;14.38;5.19;6.78
356,0,671.73;3;11.69;7.71;2.88;0.5;13.37;6.58;4.71
357,0,756.33;2.41;11.51;6.87;2.8;1.4;11.17;5.7;4.73
358,0,615.32;3;11.69;7.53;2.88;0.7;16.35;6.47;4.74
359,0,643.87;3;11.72;7.68;2.82;2.2;12.08;6.36;3.93
